utterance,request,importance
"I want to submit a complaint, what should I do?",9,1
"I sant a user accountg, what can I do?",8,0
help me track my pyrchase,3,2
could you ask an agent how to write a review for a service?,23,2
can you help me to change my last order?,0,2
assistance editing my personal information,19,2
"I've got no online account, can you register?",8,1
"I haven't got a fucking prfoile, I need help creating one, please",8,1
I try to unsubscribe to the corporate newsletter,18,2
"I lost my bill, help me see it",17,1
I need help chatting with a person,14,2
i want to know if theres a newsletter I can receive,18,0
want assistance to restor my pass,12,2
I want to know if I can receive the newsletter,18,1
"i wanna view cancellation fees, what can i do?",20,0
I try to buy some items,26,2
what's your refund policy?,16,2
"I want to use my other profile, change them",6,2
tell me if I can create two online accounts with a single email,8,2
could you help me checking what delivery options I have?,13,2
"I'm happy with the service, help me make a review",23,1
"please, could you ask an agent ohw I could inform of fucking problems paying?",5,2
can I get the invoices from my last purchase?,2,1
"I am not happy with the service, could I file a consumer complaint?",9,1
can you tell me the mail to contact Customer Service?,10,2
ask an agent if i can check my order,3,0
I don't like the service and I want to make a complaint,9,1
"I have a problem paying, what do I have to do?",5,1
can I get the tracking number for my order?,3,2
where can I get information about delivery periods?,7,2
"I have a question, can I speak with Customer Support?",10,1
I need hepl solving a problem with my payment,5,2
"I want to see the status of my refund, can you help me?",22,1
I want to notify a problem making a payment,5,2
"I'd like to receive the newsletter, could you tell me how to do it?",18,1
i need assistance to reset my uer account pin code,12,0
issue with payments,5,2
I need assistance with cancelling the last order,27,1
i wantg assistance to call customer service,10,0
"I have an issue paying for my online order, how do I report it?",5,1
what is the delivery period for this order?,7,2
"an error message pops when i attempt to pay, what should i do?",5,0
"please, could u ask an agent where i could inform of a problem paying?",5,0
assistance to delete my account,1,2
my card was declined,5,2
"please, I wannna know how I could know where my package is",3,1
I need assistance to track the refund,22,1
"I want to solve an issue with my payment, what should I do?",5,1
I don't know what I need to do to contact an agent,14,1
I want to inform of payment issues,5,2
can you tell me if I can check my orders?,3,2
"I have a question, how do I talk to Customer Service?",10,1
can you show me what options for delivery I have?,13,2
ask an agent to register,8,2
help me file a complaint for a service,9,2
I have problems updating the delivery address,24,1
"I have an issue making a payment with card, help me inform of it",5,1
I want to know where I can track my delivery,3,1
i dont know what to do to restore my goddamn account pass,12,0
can you tell me where to request a bill?,2,2
I need help solving issues making a payment,5,2
"i have a problem when trying to make a payment, how do i report it?",5,0
I want to filea claim,9,2
"I got an error when I attempted to make a payment, but I was charged anyway, inform of it",5,1
"i lost my invoices, what can i do to check them?",17,0
ask an agent to notify a payment issue,5,2
"I got an error when I tried to make a payment, but my card was charged anyway, inform of it",5,1
"i want to know if i could register several fucking accounts with a single email, please",8,0
"I want to open an online account, what do I have to do?",8,1
"i want to use my other online account, how do i switch them?",6,0
ask an agent where to delete my user account,1,2
I need assistance tracking my order,3,2
can you show me information about thed mail address of the Customer Service?,10,2
chnage details on profile,19,2
where to check the options for delivery?,13,2
"i havent got an online account, how can i register?",8,0
"the event was postponed, what do I have to do to get an reimbursement?",11,1
i want to receive a reimbursement,11,0
tell me how I can check my package,3,2
"i have a problem paying for my online order, what do i have to do to report it?",5,0
"i have an issue paying for my online order, how do i report it?",5,0
could you ask an agent to show me information about my bills ?,17,2
"i need information, how can i contact customer service?",10,0
add some items to an order,0,2
I cannot find the invoice from February,15,1
"I want to track my shipments, tell me how to do it",3,1
what do I have to do to buy some of your item?,26,1
show me the free number to contact Client Service,10,2
"I don't want my online account, how can I delete it?",1,1
"I'm happy with the service, make a review",23,1
ask an agent if i can obtain some invoices,2,0
i want to see the email of the Client Servie,10,0
uare not helpful i wanmt help to speak with a person,14,0
"i want to report an issue paying, can u help me?",5,0
needto speak with customer support how to do it,10,2
can you ask an agent if I could view the ticket delivery options?,13,2
how long do refunds take?,16,1
I don't know anything about your money back policy,16,1
how do I lodge a complaint ?,9,2
help checking your payment methods,21,2
I do not know how I can leave a review for your services,23,1
where do I inform of an issue with my payment?,5,2
can you send me a bill?,2,2
how to check my invoice,17,2
"I have a problem paying for my order, what can I do to report it?",5,1
"I have an issue when trying to pay with card, can I report it?",5,1
I didn't receive my bill and I want to see it,17,1
where can I check what hours customer service available is?,10,2
where can I get an refund?,11,1
can you help me to create an account?,8,2
"I changed my mind, what should I do to cancel my profile?",1,1
I want to see the email address to contact Customer Support,10,2
i need help cxalling customer support,10,0
ask an agent how i can talk to customer service,10,0
"the show was cancelled, can I obtain a refund?",11,1
"i havent got an account, how do i create one?",8,0
"I'm happy with the service, I need help making a comment",23,1
I have got to get refunds of money,11,1
"the payment won't go through, what should I do?",5,1
i need assistance subscribing to the goddamn newsletter,18,2
I've got no user account and I want to create one,8,1
"Id like to request an invoice, can you tell me where I can do it?",2,1
"my fucking user account's been hacked, and I need help getting it back",12,1
i do not  use this user how can i change to the other one,6,0
"the concert was postponed, what do I have to do to obtain a refund?",11,1
can you tell me if there is any person available?,14,2
can I report issues maiing a payment?,5,2
I need help viewing my bills,17,2
"ive got no online account, what can i do to open one?",8,0
help me change an item of an order,0,2
"I want to report a problem making a payment, what can I do?",5,1
"I lost my bill, I need help seeing it",17,1
"ask an agent how I could report an issue with my payment, please",5,2
"my user account has been hacked , how do i recover it?",12,0
i want to contact someone,14,0
how do I get my invoices?,2,1
"I didn't receive my invoice, how can I check it?",17,1
how to lodge a consumer complaint for a service,9,2
ask an agent where i can check the delivery options,13,0
"i need a refund, can i get one, please?",11,0
where do I buy some items?,26,2
I would like to know about order cancellations,27,1
ive got no online account and i wanna reigster,8,0
"I bought an item, help me change my purchase, please",0,2
"I got an error message when I tried to pay, but my card was charged anyway, how can I report it?",5,1
"you're not helping, contact a human agent",14,2
could you help me check the invoice from last month?,15,1
I need to cancel my order,27,1
i have a question and i want to send an email to customer support,10,0
"my account was hacked, what do i have to do?",12,0
"i wanna check my order, can you tell me where I cn do it?",3,0
"your not helping, I need help contacting a human agent",14,2
I do not know what to do to list the allowed payment options,21,1
can u show me your money back guarantee?,16,0
i a happy with the service and i want to lodge an opinion,23,0
"I want to check the status of my refund, what should I do?",22,1
where can I notify a problem paying?,5,2
I call to get the invoices from March,2,1
how do I check the cancellation fees?,20,2
i dont know how i can unsubscribe from ur newsletter,18,0
"I want information, help me call Customer Service",10,2
"ask an agent about my bills, please",17,2
"my user account's been hacked, how do I get it back?",12,1
"I bought a product, what do I have to do to modify my purchase?",0,1
"I want to solve a problem paying, what can I do?",5,1
"do you mind asking an agent where I can see a fucking invoice, please?",2,1
tell me if I can register more than one useer account with a single email address,8,2
"I got an error when I attempted to make a payment, but my card was charged anyway, how can I inform of it?",5,1
assistance making an order,26,2
"I want to submit a complaint for a service, can you help me?",9,1
information about your refund policy,16,2
can you help me switch to another account?,6,2
ask an agent how I can check my order,3,2
"could u ask an agent if i could cancel my online account, pleasd?",1,0
information about changing my order,0,2
"I got an error when I tried to make a payment, but my card was charged anyway, what do I have to do to notify it?",5,1
what do I have to do to get my invoice?,2,1
ask an agent if I could recover my account password,12,2
what do I have to do to inform of signup problems?,25,1
"you aren't helping, what should I do to speak with someone?",14,1
how can I see your payment methods?,21,2
"im discontent with the service, help me submit a complaint",9,2
"I have an issue when trying to pay for my online order, what can I do to inform of it?",5,1
where to recover my password?,12,2
i forgot my account password and i want to reset it,12,0
where could I find information about changing an order?,0,2
I want to know how soon I can expect my tickets,7,1
can u give me information about the cancelation penaltes?,20,0
"I get an error message when I attempt to make a payment for my online order, what can I do?",5,1
I don't want my online account and I want to delete it,1,1
I have an issue paying and I want to notify it,5,1
i cant notify of reigstration errors,25,0
I want to call Client Service,10,2
I wanna know how to check my shipemnts,3,2
tell me how I can modify my order,0,2
I need help checking my package,3,2
"I got an error when I tried to make apayment, but I was charged anyway, what should I do to notify it?",5,1
i want to know if i can register more than one profile with the same email address,8,0
information about standard account deletions,1,2
where can I notify problems with my payment?,5,2
how can I inform of problems paying?,5,2
help me speak with client service,10,2
could I get the invoices from my last purchase?,2,2
i get an error when i attempt to pay,5,0
"do you mind asking an agent how to request some fucking invoices, please?",2,2
I want help to check the refund status,22,1
"I want to lodge a comment for a service, what do I have to do?",23,1
help to talk to an agent,14,2
help me to check your money back policy,16,2
I want to get information about seeing a bill,2,1
where to track the refund?,22,2
"I have an issue when trying to make a payment, how do I report it?",5,1
"I have a question, what do I have to do to call Client Service?",10,1
"I need information, can I talk to Client Service?",10,1
ask an agent where i can logde a complaint for a service,9,0
i have got to check the withdrawal fees can uhelp me,20,0
could u ask an agent to notify a fucking payment issue?,5,0
"I bought an item, I need help modifying my order",0,1
can you help me check my refund status?,22,1
"the concert was cancelled, how can i request a reimbursement?",11,0
"can u ask an agent where i can see their payment options, please?",21,0
"I got an error when I tried to pay, but my card was charged anyway, can I report it?",5,1
"I want to check my shipment, tell me how I can do it",3,1
someone stole my fucking account password and I'd like to reset it,12,1
"the game was cancelled, what can I do to request a reimbursement?",11,1
"i want to solve an issue with my payment, what do i have to do?",5,0
tell me if there is any person available,14,2
can you tell me if i can register several accounts with a single email address?,8,0
"the concert was postponed, can u help me?",11,0
ask an agnet how to send an email to customer service,10,2
"i wanna track my purchase, what do i have to do?",3,0
can you ask an agent where I can track my shipments?,3,2
"I changed my mind, how can I cancel my profile?",1,1
"I purchased something, how do I change my order?",0,1
where can I view your money back guarantee?,16,2
"the game was postponed, what can I do to get a reimbursement?",11,1
"the concert was postponed, how can I request a reimbursement?",11,1
"I have a problem when trying to make a payment with  card, how can I notify it?",5,1
"I want to lodge a review, what do I have to do?",23,1
I don't know how I could track an order,3,1
"I don't have an account, create one",8,2
can you tell me if i can register several user accounts with a single email address?,8,0
"I want to use my other online account, how do I change them?",6,1
"I have a problem when trying to pay with cadr, can you help me?",5,1
"please , ask an agent whyere to see the cancellation fee",20,2
request some bills,2,2
"I need a reimbursement, how can I get one?",11,1
"I need an online account, what do I have to do to open one?",8,1
"I got an error when I attempted to pay, but my card was charged anyway",5,1
"I want to get some bills, can you tell me how to do it?",2,1
"the game was cancelled, what should I do?",11,1
I need information and I want to speak with Customer Support,10,1
"ask an agent how I could inform of a fucking problem making a payment, please",5,2
I do not know how I can buy some of your item,26,1
where to remove my user account,1,2
"I need help notifying a problem with my payment, please",5,1
check my refund status,22,2
I'm trying to make a complaint against ur organization,9,1
where do I see the status of my purchase?,3,2
I have to check at what time I can call customer support,10,1
I eant to know if I can create several online accounts with the same email address,8,2
ask an agent to edit my shipping address,24,2
"please, i want to know if there is any fucking person available",14,0
"you arent helping and id like to speak with someone, please",14,2
can I own more than one profile?,8,2
what's the free phone number of Client Service?,10,2
ask an agent how to solve fucking payment issues,5,2
I want to lodge a complaint,9,1
I have to track my last order,3,2
i want to know what the email of client service is,10,0
"I didn't receive my bills, what do I have to do to view them?",17,1
how to contact Client Service,10,2
"I want to obtain an invoice, tell me how I can do it",2,1
what do I need to do to talk to a live agent?,14,1
"an error message pops when i attempt to make a payment for my online order, what can i do?",5,0
can u ask an agent if i can make a complaint for a service?,9,0
"i dont have an account, can i open one?",8,0
help me speak with Customer Service,10,2
the concert was cancelled and I would like to request a reimbursement,11,1
how to make changes to my profile,19,2
"I want to submit an opinion, what should I do?",23,1
"I have an issue when trying to make a payment with card, I need help reporting it",5,1
"I changed my mind, what can I do to close my online account?",1,1
"im not happy with the service, i need help submitting a complaint",9,0
could you help me checking my order ETA?,3,2
I want to check the cancellation fee,20,2
how to edit my personal information?,19,2
"an error message pops when I attempt to make a payment, what can I do?",5,1
"I have a problem making  a payment with card, can you notify it?",5,1
I would like to know about the delivery periods,7,1
my fucking online account's been hacked and I'd like to get it back,12,1
"please, ask an agent where i can notify an issue with my payment",5,0
can you help me unsubscribe from your corporate newsletter?,18,2
"i cant remember my password, can u retrieve it?",12,0
"the show was cancelled, obtain a refund",11,2
how do i notify a problem with my payment?,5,0
where can I cancel my user account?,1,2
"I am happy with the service and I would like to submit an opinion, please",23,1
could I check in what cases can I ask to be refunded?,16,1
"i want to inform of a problem making a payment, what do i have to do?",5,0
can u ask an agent if I can change my purchase?,0,0
can I register more than one user account with a single email address?,8,2
"can u ask an agent what the dmail of client esrvice is, please?",10,0
was my reimbursement processed ?,22,1
how to get the invoices from my last purchase?,2,2
"I don't understand you, could you talk to a person?",14,1
I bought a product and I wanna change my purchase,0,1
"id like information, help me talk to client service, please",10,2
"I've got no online account, how can I create one?",8,1
"i have a question, talk to customer service",10,0
can I cancel an order?,27,2
I'm discontent with the service and I want to make a complaint,9,1
"could you ask an agent how I can remove my profile, please?",1,2
whats the mail addresss of customer support?,10,2
I need assistance reporting an issue with payment,5,2
whats the mail to contact Customer Service?,10,2
can u ask an agent how i can check their reimbursement policy?,16,0
can you tell me if my shipments are on their way?,3,1
track my shipment,3,2
"I haven't got an online account,  I need help creating one",8,1
"I want to obtain some fucking invoices, could you tell me how I can do it?",2,1
"please, could you tell me where I can check my delivery?",3,2
"i bought an item and i want to modify my order, please",0,0
"i purchased an item, can I change my purchase?",0,0
"I have an issue making a payment with card, whgat do I have to do to notify it?",5,1
"I get an error message when I try to make a payment for my online order, what should I do?",5,1
"i got an error message when i attempted to pay, but my card was charged anyway, what can i do to notify it?",5,0
send an email to customer service,10,2
tell me what your payment options are,21,2
"I forgot my password, could you retrieve it, please?",12,1
can I set a new shipping address up?,4,2
"I have no account, what do I have to do to register?",8,1
how to set a new shipping address up?,4,2
tracking order,3,2
"my account was hacked, what do I have to do?",12,1
can u ask an agent how i can make a complaint for a service?,9,0
can I check the options for ticket delivery?,13,2
help buying a few of your item,26,2
"please, Id like to ask for information about requesting an invoice",2,2
"I need an online account, create one",8,2
find information about signing up to your company newsletter,18,2
"please, can you ask an agent how I can retrieve my account password?",12,2
"I want to know the status of my reimbursement, what can I do?",22,1
tell me how to track my packages,3,2
"I haven't got a user account, what should I do to register?",8,1
the shipping address has changed,24,2
I need to make a consumer reclamation,9,2
"I ordered an item, how do i change my order?",0,0
"can u give me information about the fucking email address of the Customer Service, please?",10,2
"i want information about the email to contact Customer Support, please",10,0
"can u ask an agent if I can download some invoices, please?",2,0
i want to know how long it takes for a ticket to arrive,7,0
can you tell me where to obtain a bill?,2,2
"my user account's been hacked, what should I do to recover it?",12,1
"I forgot my account passsord, can you retrieve it?",12,1
could you help me to get the invoices from my last purchase?,2,2
show me the number top contact Customer Service,10,2
I want to know where I can see an invoice,2,1
I want to know what the email to contact Customer Support is,10,2
"I'm discontent with the service, file a consumer complaint",9,1
"I'm happy with the service, how can I make an opinion?",23,1
"I want to view your money back policy, what can I do?",16,1
assistance leaving a review for your company,23,2
tell me where to download a bill,2,2
"I don't want my online account, what do I have to do to delete it?",1,1
i dont have an online acdount,8,0
"I have a problem paying with card, help me report it",5,1
"my onlione account's been hacked, what should I do?",12,1
I try to check how soon can I expect the item,7,1
i want to know where to change my purchase,0,0
"you're not helping, what can I do to speak with a human?",14,1
"I want to view your reimbursement policy, what can I do?",16,1
ask an agent where i can report issues with my payment,5,0
I can't find my bills and I want to see them,17,1
"please, can u ask an agent where I can check my package?",3,0
how to track my delivery,3,2
"I am interested in your fucking reimbursement policy, tell me about it",16,1
i want to know what the mail of Customer Service is,10,0
"I don't understand you, contact a human agent",14,1
issues setting up a new shipping address,4,2
I want to know where my order is,3,1
"please, could u ask an agent how i could notify an issue paying?",5,0
where to report a payment issue?,5,2
I need help to check when my delivery is going to arrive,7,1
help me to check what delivery options I can choose,13,2
tell me what the number to contact Customer Support is,10,2
where can I find information about a user account deletion?,1,2
where to update my shipping address,24,2
I want to know what the mail to contact Client Service is,10,2
can you ask an agent to provide information about my fucking bills?,17,2
"I have an issue when trying to make a payment with card, what should I do?",5,1
"im not happy with the service, what do i have to do to make a complaint?",9,0
"u are not helping, can i talk to a human  agent?",14,0
I wanna know if my package is out for delivery,3,2
"ask an agent how to close my user account, please",1,2
i want to know where to download a bill,2,0
I try to add something,0,2
how can I change to another online account?,6,2
can you see an invoice ?,2,2
can u ask an agent how to notify a payment issue?,5,0
"i got an reror message when i tried to make a payment,but i was charged anyway",5,0
how long until I get a refund?,11,1
"I want to track my package, tell me how to do it",3,1
"I don't want my profile, can I cancel it?",1,1
"I don't weant my account, how do I cancel it?",1,1
is it possible to cancel the order I have made?,27,1
"i changed my mind, what should i do to close my user account?",1,0
i want to know if i can create more than one profile with a single email,8,0
"I purchased a product, what do i have to do to change my purchase?",0,0
"I can't remember my password, could I retrieve it?",12,1
I want assistance contacting customer service,10,2
I want to see the email to contact Customer Service,10,2
check the options for delivery,13,2
how to cancel the company newsletter subscription?,18,2
"im discontent with the service, how do i lodge a consumer complaint?",9,0
where can i report payment problems?,5,0
information about updating my shipping address,24,2
"I changed my mind, what should I do to remove my profile?",1,1
"i dont want my profile, can u close it?",1,0
I have a problem with removing something from an order,0,1
"i have a question, help me contact client service",10,0
i need help to sign up,8,0
can I create two online accounts with a single email?,8,2
"I purchased something, how can I modify my purchase?",0,1
i want help to speak to customer support,10,0
"i got an error when i tried to pay, but i was charged anyway, what can i do to notify it?",5,0
I have issues signing up,25,2
"I lost my password, can you help me?",12,1
can u ask an agent to check my package?,3,0
how can i notify a payment problem?,5,0
ask an agent where i can leave an opinion for a service,23,0
"i have an issue paying for my order, what do i have to do to notify it?",5,0
assistance to get the invoice from last month,2,2
"someone stole my account password, how can I recover it ?",12,1
"my online account was hacked, recover it",12,2
"i get an error message when i attempt to make a payment for my online order, what do i have to do?",5,0
I try to check if there is any updates on my refund,22,1
"can you ask an agent if I can inform of a problem with my payment, please?",5,2
"please, ask an agent when I will get a reimbursement",11,2
can I inform of problems with my payment?,5,2
help me notify a problem with my payment,5,2
can you show me the mail of the Client Service?,10,2
"I can't understand you, how can I talk to a human?",14,1
"i want ot download some invoices, can you show me some information?",2,0
I want to know about the delivery period,7,2
where could I get information about a user account deletion?,1,2
"i want to download a bill, tell me where I can do it",2,0
I want to know if I can modify my order,0,1
would it be possible to delete an account?,1,2
I want to know how to see a bilo,2,1
can you tell me about your money back policy?,16,2
what's the mail of the Customer Support?,10,2
tell me about a user account deletion,1,2
what do I need to do to buy something?,26,1
i want information and d like to speak with custpmer service,10,0
"i need information, how do i speak with customer support?",10,0
"I didn't receive my invoice, help me check it",17,1
I need help to see the available payment methods,21,2
"i got an error message when i tried to pay, but i was charged anyway, i need help notifying it",5,0
where to switch to another online account,6,2
I need to create a different online account for my mother,8,1
can you tell me where I can check my package?,3,2
I have problems with a forgotten password,12,2
"the payment failed, what do I have to do?",5,1
show me the email to contact Customer Service,10,2
"I got an error message when I attempted to make a payment, but I was charged anyway",5,1
"please, can you ask an agent where I can inform of fucking payment problems?",5,2
"I have no online account, help me register, please",8,2
I have to leave a review for your company,23,1
anyone available in customer service,10,2
"I'm interested in your refund policy, can you tell me about it?",16,1
"I do not understand you, can I speak with a person, please?",14,1
"I want to request some bills, can you tell me how to do it?",2,1
"I can't remember my fucking pasword, can you help me?",12,1
I don't know how to track the last order,3,1
i wold like to check my deliveries,3,0
where do i change to another profile?,6,0
"I didnm't receive my bill, how do I view it?",17,1
I need assistance to set up a different shipping address,4,2
assistance to get a refund of money,11,2
could you send me the invoices from one purchases ago?,2,2
I do not know what I need to do to buy an item,26,1
need to list ur available payment methods,21,2
can you help me recover the key of my account?,12,2
"ask an agent if I could see some invoices, please",2,2
"i want to report a payment problem, what should i do?",5,0
"I changed my mind, help me cancel my profile",1,1
can u ask an agent if i can close my online account?,1,0
can you tell me the mail of Customer Support?,10,2
help to set a different shipping address up,4,2
how can I modify my purchase?,0,2
help me to solve issues with payments,5,2
i wanna request information about seeing some bills,2,0
"an error pops whewn I try to pay for my order, what can I do?",5,1
"please, i want to know if i could create two fucking online accounts with the same email address",8,0
"I want to edit my shipping address, can you help me?",24,1
I want to check my deliveriers,3,2
could you help me finding the invoices?,15,2
"I'm discontent with the service, what do I have to do to file a consumer complaint?",9,1
I need help to check the status of my order,3,1
"the game was cancelled, can I obtain a reimbursement?",11,1
"I don't have an account, I need help creating one",8,1
"you're not helping, contact someone",14,2
can you help me to see the early termination charge?,20,2
tell me how to obtain an invoice,2,2
"the fucking show was postponed and I'd like to obtain a reimbursement, please",11,1
"I would like to change my purchase, can you tell me how to do it?",0,1
"I have a problem when trying to pay for my online order, how do I notify it?",5,1
help to file a complaint,9,2
I am trying to delete the account,1,1
"i want to check cancellation penalties, what should i do?",20,0
I had issues while signing up,25,2
"please, can you ask an agent where I could inform of a problem making a payment?",5,2
"the concert was cancelled, how can I obtain a reimbursement?",11,1
"I'm not happy with the service, how can I submit a complaint?",9,1
I have to check how soon can I expect the item,7,1
I changed my mind and I want to close my online account,1,1
"I need information, what should I do to send an email to Client Service?",10,1
"i dont understand you, how do i talk to a human agent?",14,0
help checking what payment methods you accept,21,2
"I lost my invoice, help me view it",17,1
I have got to check if there is anything new on my refund,22,1
can you check the status of my refund?,22,2
can you help me switching to my new user account?,6,2
I need help to track an order,3,2
where do I track my packages?,3,2
"I'm not happy with the service, submit a complaint",9,1
can u ask an agent to show me my bill?,17,0
i need help reporting an issue making a payment,5,2
I want assistance lodging a claim against your organization,9,2
I changed my mind and I want to cancel my account,1,1
can you tell me if I can obtain an invoice?,2,2
I don't know what I have to do to buy a few of your item,26,1
"I have an issue making a paymet, what do I have to do?",5,1
I have to make an order,26,1
"I want to cancel an order, can you help me?",27,1
"I made a mistake, what do I have to do to change my purchase?",0,1
how could I check if there is anything new on my refund?,22,1
"I have a question, what can I do to send an email to Client Service?",10,1
can I create two profiles with the same email?,8,2
I have an issue trying to correct the address,24,1
"I want to track my shipment, can you tell me how I can do it?",3,1
"I want an account, could you help me?",8,1
"I've got no user account, how can I open one?",8,1
ask an agent how i can check my invoice,17,0
ask an agent about the status of my purchase,3,2
I want to know where to track my orders,3,2
"i changed my mind, what can i do to remove my online account?",1,0
is my order on its way?,3,2
I want information about the cancellation penalty,20,2
tell me where I can check my deliveries,3,2
"i need an online account, how can i open one?",8,0
"I can't understand you , I need help contacting someone",14,1
how to check my bill,17,2
I want to see the delivery period for my ticket,7,1
"I want information, how can I send an email to Client Service?",10,1
how to open a user account,8,2
can I notify issues with my payment?,5,2
"I didn't receive my invoices, can you show them?",17,1
"i needd a refund, can  help me?",11,0
could I track my order?,3,2
help filing a complaint,9,2
